Name,Project Title,Amount($),Fiscal Year,Program
"Abou-Zeid, Hatem",Robust Intelligence for Beyond-5G Networks and Applications,24000,2023-2024,Discovery Grants Program - Individual
"AbouZeid, Hatem",Robust Intelligence for Beyond-5G Networks and Applications,24000,2021-2022,Discovery Grants Program - Individual
"AbouZeid, Hatem",Robust Intelligence for Beyond-5G Networks and Applications,24000,2022-2023,Discovery Grants Program - Individual
"Afsahi, Ahmad",High-performance and scalable communication subsystems for exascale computing,22000,2012-2013,Discovery Grants Program - Individual
"Afsahi, Ahmad",Efficient and Scalable Communication and System Software for Exascale Computing,31000,2020-2021,Discovery Grants Program - Individual
"Afsahi, Ahmad",Efficient and Scalable Communication and System Software for Exascale Computing,31000,2018-2019,Discovery Grants Program - Individual
"Afsahi, Ahmad",Efficient and Scalable Communication and System Software for Exascale Computing,31000,2019-2020,Discovery Grants Program - Individual
"Afsahi, Ahmad",High-performance and scalable communication subsystems for exascale computing,22000,2014-2015,Discovery Grants Program - Individual
"Afsahi, Ahmad",High-performance and scalable communication subsystems for exascale computing,22000,2015-2016,Discovery Grants Program - Individual
"Afsahi, Ahmad",High-performance and scalable communication subsystems for exascale computing,22000,2011-2012,Discovery Grants Program - Individual
"Afsahi, Ahmad",High-performance and scalable communication subsystems for exascale computing,22000,2013-2014,Discovery Grants Program - Individual
"Afsahi, Ahmad",Efficient and Scalable Communication and System Software for Exascale Computing,31000,2016-2017,Discovery Grants Program - Individual
"Afsahi, Ahmad",Efficient and Scalable Communication and System Software for Exascale Computing,31000,2017-2018,Discovery Grants Program - Individual
"Ahmad, MOmair","Design and Implementation of Digital Signal Processing Algorithms for Communication, Biomedical and other Applications",36000,2016-2017,Discovery Grants Program - Individual
"Al-Anbagi, Irfan",Secure and Reliable Wireless Sensor Networks for Critical Internet of Things Applications,28000,2023-2024,Discovery Grants Program - Individual
"AlAnbagi, Irfan",Secure and Reliable Wireless Sensor Networks for Critical Internet of Things Applications,28000,2022-2023,Discovery Grants Program - Individual
"AlAnbagi, Irfan",Secure and Reliable Wireless Sensor Networks for Critical Internet of Things Applications,28000,2020-2021,Discovery Grants Program - Individual
"AlAnbagi, Irfan",Secure and Reliable Wireless Sensor Networks for Critical Internet of Things Applications,28000,2021-2022,Discovery Grants Program - Individual
"Albert, Jacques",All-Fiber Frequency doubled light sources from engineered glass layers,142120,2016-2017,Strategic Projects - Group
"Albert, Jacques",All-Fiber Frequency doubled light sources from engineered glass layers,142120,2015-2016,Strategic Projects - Group
"Albert, Jacques",All-Fiber Frequency doubled light sources from engineered glass layers,178120,2014-2015,Strategic Projects - Group
"Alhajj, Reda",Adaptive data mining techniques for challenging applications,16800,2010-2011,Discovery Grants Program - Individual
"Bajic, Ivan",Media Quality Testbed for the Multimedia Communications Laboratory at SFU,141717,2012-2013,"Research Tools and Instruments - Category 1 (<$150,000)"
"Barbosa, Denilson",Building and Querying Knowledge Graphs from Text Corpora,46000,2022-2023,Discovery Grants Program - Individual
"Barbosa, Denilson",Building and Querying Knowledge Graphs from Text Corpora,23000,2018-2019,Discovery Grants Program - Individual
"Barbosa, Denilson",Building and Querying Knowledge Graphs from Text Corpora,23000,2020-2021,Discovery Grants Program - Individual
"Barbosa, Denilson",Building and Querying Knowledge Graphs from Text Corpora,23000,2019-2020,Discovery Grants Program - Individual
"Barclay, Paul",Electronic and magnetic spectroscopy system for spin-optomechanics,149925,2016-2017,Research Tools and Instruments
"Basu, Anup",Biologically motivated Multimedia,35000,2022-2023,Discovery Grants Program - Individual
"Basu, Anup",Biologically motivated Multimedia,35000,2023-2024,Discovery Grants Program - Individual
"Belostotski, Leonid",Integrated Cryo-Circuits for Quantum Computing and Sensing,50000,2023-2024,Discovery Grants Program - Individual
"Benedicenti, Luigi",The Role of Affect in Decision Making for Agile Processes,23000,2022-2023,Discovery Grants Program - Individual
"Benedicenti, Luigi",The Role of Affect in Decision Making for Agile Processes,23000,2023-2024,Discovery Grants Program - Individual
"Benedicenti, Luigi",The Role of Affect in Decision Making for Agile Processes,23000,2019-2020,Discovery Grants Program - Individual
"Benedicenti, Luigi",The Role of Affect in Decision Making for Agile Processes,23000,2020-2021,Discovery Grants Program - Individual
"Benedicenti, Luigi",The Role of Affect in Decision Making for Agile Processes,23000,2018-2019,Discovery Grants Program - Individual
"Boukerche, Azzedine",Vehicular Clouds: Enabling Next Generation Connected and Autonomous in-Vehicles Experiences,55000,2021-2022,Discovery Grants Program - Individual
"Boukerche, Azzedine",Vehicular Clouds: Enabling Next Generation Connected and Autonomous in-Vehicles Experiences,55000,2020-2021,Discovery Grants Program - Individual
"Boukerche, Azzedine",Vehicular Clouds: Enabling Next Generation Connected and Autonomous in-Vehicles Experiences,55000,2023-2024,Discovery Grants Program - Individual
"Boukerche, Azzedine",Mobility management protocols for vehicular ad hoc networks,40000,2012-2013,Discovery Grants Program - Individual
"Boukerche, Azzedine",Vehicular Clouds: Enabling Next Generation Connected and Autonomous in-Vehicles Experiences,55000,2022-2023,Discovery Grants Program - Individual
"Boukerche, Azzedine",SerVANET: Service Discovery Protocols for Next Generation Vehicular Ad-hoc networks,140000,2010-2011,Strategic Projects - Group
"Boukerche, Azzedine",SerVANET: Service Discovery Protocols for Next Generation Vehicular Ad-hoc networks,137500,2011-2012,Strategic Projects - Group
"Boukerche, Azzedine",Mobility management protocols for vehicular ad hoc networks,40000,2010-2011,Discovery Grants Program - Individual
"Boukerche, Azzedine",Mobility management protocols for vehicular ad hoc networks,40000,2011-2012,Discovery Grants Program - Individual
"Boukerche, Azzedine",Vehicular Clouds: Enabling Next Generation Connected and Autonomous in-Vehicles Experiences,55000,2019-2020,Discovery Grants Program - Individual
"Boukerche, Azzedine",Mobility management protocols for vehicular ad hoc networks,40000,2013-2014,Discovery Grants Program - Individual
"Boumaiza, Slim",Co-development of digital signal processing methods and circuit design techniques for novel 5G and beyond transmitters,55000,2022-2023,Discovery Grants Program - Individual
"Boumaiza, Slim",Co-development of digital signal processing methods and circuit design techniques for novel 5G and beyond transmitters,55000,2023-2024,Discovery Grants Program - Individual
"Bradley, Michael",Plasmas for Growth and Processing of Advanced Materials,24000,2023-2024,Discovery Grants Program - Individual
"Bradley, Michael",Plasmas for Growth and Processing of Advanced Materials,24000,2021-2022,Discovery Grants Program - Individual
"Bradley, Michael",Plasmas for Growth and Processing of Advanced Materials,24000,2022-2023,Discovery Grants Program - Individual
"Brown, Stephen",High-Level Design for FPGAs and Embedded Systems,25000,2019-2020,Discovery Grants Program - Individual
"Brown, Stephen",High-Level Design for FPGAs and Embedded Systems,25000,2018-2019,Discovery Grants Program - Individual
"Brown, Stephen",High-Level Design for FPGAs and Embedded Systems,25000,2016-2017,Discovery Grants Program - Individual
"Brown, Stephen",High-Level Design for FPGAs and Embedded Systems,25000,2015-2016,Discovery Grants Program - Individual
"Brown, Stephen",High-Level Design for FPGAs and Embedded Systems,25000,2017-2018,Discovery Grants Program - Individual
"Burke, Sarah",Low-temperature Scanning Probe Microscope Controller upgrade for multimodal 2D materials investigation,150000,2020-2021,Research Tools and Instruments
"Capson, David",Emerging Applications of Machine Vision for Sustainable and Connected Environments,28000,2021-2022,Discovery Grants Program - Individual
"Capson, David",Emerging Applications of Machine Vision for Sustainable and Connected Environments,28000,2019-2020,Discovery Grants Program - Individual
"Capson, David",Emerging Applications of Machine Vision for Sustainable and Connected Environments,28000,2020-2021,Discovery Grants Program - Individual
"Capson, David",Emerging Applications of Machine Vision for Sustainable and Connected Environments,56000,2023-2024,Discovery Grants Program - Individual
"Capson, David",Emerging Applications of Machine Vision for Sustainable and Connected Environments,28000,2022-2023,Discovery Grants Program - Individual
"Chau, Tom",Unsupervised data-driven discovery for characterizing brain states,25000,2014-2015,Engage Grants Program
"Chen, Lawrence",Microwave photonic and analog photonic computation subsystems and systems,69000,2023-2024,Discovery Grants Program - Individual
"Cheriet, Mohamed",Data-driven modeling for understanding ancient documents from multimodal images,55000,2023-2024,Discovery Grants Program - Individual
"Cheriet, Mohamed",Data-driven modeling for understanding ancient documents from multimodal images,55000,2022-2023,Discovery Grants Program - Individual
"Cheriet, Mohamed",Data-driven modeling for understanding ancient documents from multimodal images,55000,2020-2021,Discovery Grants Program - Individual
"Cheriet, Mohamed",Data-driven modeling for understanding ancient documents from multimodal images,55000,2019-2020,Discovery Grants Program - Individual
"Cheriet, Mohamed",Data-driven modeling for understanding ancient documents from multimodal images,55000,2021-2022,Discovery Grants Program - Individual
"Daudjee, Khuzaima",Scalable and Consistent Management of Large Scale Data,26000,2018-2019,Discovery Grants Program - Individual
"Daudjee, Khuzaima",Scalable and Consistent Management of Large Scale Data,26000,2017-2018,Discovery Grants Program - Individual
"Daudjee, Khuzaima",Scalable and Consistent Management of Large Scale Data,26000,2016-2017,Discovery Grants Program - Individual
"Daudjee, Khuzaima",Scalable and Consistent Management of Large Scale Data,26000,2015-2016,Discovery Grants Program - Individual
"Daudjee, Khuzaima",Scalable and Consistent Management of Large Scale Data,26000,2014-2015,Discovery Grants Program - Individual
"de Silva, Nadish",The foundations of quantum computational advantage,25000,2023-2024,Discovery Grants Program - Individual
"De Sterck, Hans","Advances in Scalable Iterative Solvers: Multilevel, Nonlinearly Preconditioned, and Parallel-in-Time",48000,2023-2024,Discovery Grants Program - Individual
"Dehghantanha, Ali",Artificial Intelligence-Aided Digital Forensics Examination,33000,2023-2024,Discovery Grants Program - Individual
"Dehghantanha, Ali",Artificial Intelligence-Aided Digital Forensics Examination,33000,2022-2023,Discovery Grants Program - Individual
"Dehghantanha, Ali",Artificial Intelligence-Aided Digital Forensics Examination,33000,2021-2022,Discovery Grants Program - Individual
"Dehghantanha, Ali",Artificial Intelligence-Aided Digital Forensics Examination,33000,2020-2021,Discovery Grants Program - Individual
"deSilva, Nadish",The foundations of quantum computational advantage,25000,2022-2023,Discovery Grants Program - Individual
"DeSterck, Hans","Advances in Scalable Iterative Solvers: Multilevel, Nonlinearly Preconditioned, and Parallel-in-Time",48000,2022-2023,Discovery Grants Program - Individual
"DeSterck, Hans","Advances in Scalable Iterative Solvers: Multilevel, Nonlinearly Preconditioned, and Parallel-in-Time",48000,2020-2021,Discovery Grants Program - Individual
"DeSterck, Hans","Advances in Scalable Iterative Solvers: Multilevel, Nonlinearly Preconditioned, and Parallel-in-Time",48000,2019-2020,Discovery Grants Program - Individual
"DeSterck, Hans","Advances in Scalable Iterative Solvers: Multilevel, Nonlinearly Preconditioned, and Parallel-in-Time",48000,2021-2022,Discovery Grants Program - Individual
